connexion;geo_point_2d;geo_shape;id_gares;nom_gares;id_ref_zdc;nom_zdc;id_ref_zda;idrefliga;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;style;idf;principal;x;y;
402;48.58600788986434,2.2410700809029738;"{""coordinates"": [2.241070080902974, 48.58600788986434], ""type"": ""Point""}";26;Arpajon;60072;Arpajon;43068;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;644026.1786;6832024.3368;
3;48.712628986541134,2.403633104908492;"{""coordinates"": [2.403633104908492, 48.712628986541134], ""type"": ""Point""}";31;Athis-Mons;63134;Athis-Mons;46395;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;656121.8463;6845998.1467;
151;48.87215749394265,2.329927170608275;"{""coordinates"": [2.329927170608275, 48.87215749394265], ""type"": ""Point""}";32;Auber;478926;Auber;45873;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;650849.5187;6863778.7626;
796;48.932196005027805,2.495513142584313;"{""coordinates"": [2.495513142584313, 48.932196005027805], ""type"": ""Point""}";37;Aulnay-sous-Bois;72646;Aulnay-sous-Bois;43071;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;1;663037.8693;6870364.5512;
97;48.85364805623443,2.2794870649625656;"{""coordinates"": [2.279487064962566, 48.85364805623443], ""type"": ""Point""}";40;Avenue du Président Kennedy;71212;Avenue du Président Kennedy Maison de Radio France;45419;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647131.0079;6861753.2577;
590;48.86983048806187,2.2748081536422338;"{""coordinates"": [2.274808153642234, 48.86983048806187], ""type"": ""Point""}";41;Avenue Foch;71321;Avenue Foch;45437;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;646804.2192;6863555.7388;
41;48.86546235614948,2.272159381919414;"{""coordinates"": [2.272159381919414, 48.86546235614948], ""type"": ""Point""}";42;Avenue Henri Martin;71286;Avenue Henri Martin;45447;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;646605.4494;6863071.8278;
22;48.79333629530144,2.3222016336701206;"{""coordinates"": [2.322201633670121, 48.79333629530144], ""type"": ""Point""}";45;Bagneux;70210;Bagneux;44493;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;650207.6266;6855019.5845;
534;48.53150198555095,2.370518497736707;"{""coordinates"": [2.370518497736707, 48.53150198555095], ""type"": ""Point""}";48;Ballancourt;59825;Ballancourt;43087;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;653524.9404;6825881.3486;
360;48.7510232741848,2.215860857351649;"{""coordinates"": [2.215860857351649, 48.7510232741848], ""type"": ""Point""}";73;Bièvres;63404;Bièvres;43091;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;642349.1489;6850387.4886;
38;48.828880699842834,2.377697000269359;"{""coordinates"": [2.377697000269359, 48.828880699842834], ""type"": ""Point""}";71;Bibliothèque François Mitterrand;71572;Bibliothèque François Mitterrand Emile Durkheim;45301;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;654315.4819;6858938.0999;
117;48.34166354368213,2.37881544331189;"{""coordinates"": [2.37881544331189, 48.34166354368213], ""type"": ""Point""}";81;Boigneville;59420;Boigneville;43092;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;653971.4951;6804775.4462;
672;48.529746917640566,2.572073662735742;"{""coordinates"": [2.572073662735742, 48.529746917640566], ""type"": ""Point""}";85;Boissise-le-Roi;61943;Boissise-le-Roi;45763;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;668404.6619;6825586.6129;
841;48.75218571985377,2.504559838342837;"{""coordinates"": [2.504559838342837, 48.75218571985377], ""type"": ""Point""}";87;Boissy-Saint-Léger;72881;Boissy-Saint-Léger;43094;A01856;RER A;A;RER;0;RER A;0;0;0;RATP;#F7403A;solid;1;1;663575.0958;6850344.7528;
599;48.89395181080176,2.480205915260598;"{""coordinates"": [2.480205915260598, 48.89395181080176], ""type"": ""Point""}";89;Bondy;72037;Bondy;43096;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;661888.3789;6866119.1351;
42;48.85697199491403,2.274793324608879;"{""coordinates"": [2.274793324608879, 48.85697199491403], ""type"": ""Point""}";97;Boulainvilliers;71229;Boulainvilliers;45453;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;646790.0;6862126.0;
518;48.53289010230884,2.290082513840396;"{""coordinates"": [2.290082513840396, 48.53289010230884], ""type"": ""Point""}";101;Bouray;59830;Bouray;47905;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647587.8337;6826086.0185;
45;48.78031379546215,2.312307716888593;"{""coordinates"": [2.312307716888593, 48.78031379546215], ""type"": ""Point""}";102;Bourg-la-Reine;70033;Bourg-la-Reine;43097;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;649468.2085;6853577.9767;
114;48.68101661540746,2.533130656571037;"{""coordinates"": [2.533130656571037, 48.68101661540746], ""type"": ""Point""}";105;Boussy-Saint-Antoine;62596;Boussy-Saint-Antoine;47924;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;665628.8216;6842419.4146;
396;48.43449061192662,2.376672818506991;"{""coordinates"": [2.376672818506991, 48.43449061192662], ""type"": ""Point""}";106;Boutigny;59565;Boutigny;47895;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;653894.1827;6815094.2882;
829;48.60674494801255,2.3020596915826386;"{""coordinates"": [2.302059691582639, 48.60674494801255], ""type"": ""Point""}";108;Brétigny;60247;Brétigny;43098;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;1;648544.6367;6834288.0923;
254;48.57750848849613,2.192063068770896;"{""coordinates"": [2.192063068770896, 48.57750848849613], ""type"": ""Point""}";109;Breuillet;60028;Breuillet - Bruyères-le-Châtel;47925;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;640402.1892;6831115.3788;
109;48.56432890583279,2.170377259160042;"{""coordinates"": [2.170377259160042, 48.56432890583279], ""type"": ""Point""}";110;Breuillet-Village;59940;Breuillet Village;43099;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;638787.191;6829666.9011;
924;48.69910694601902,2.506676982547087;"{""coordinates"": [2.506676982547087, 48.69910694601902], ""type"": ""Point""}";114;Brunoy;67476;Brunoy;58873;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;663693.8776;6844442.4782;
589;48.84519309572949,2.5256159084395455;"{""coordinates"": [2.525615908439546, 48.84519309572949], ""type"": ""Point""}";116;Bry-sur-Marne;73166;Bry-sur-Marne;43101;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;665185.2531;6860676.4833;
503;48.371383291366385,2.3872097971981003;"{""coordinates"": [2.3872097971981, 48.371383291366385], ""type"": ""Point""}";117;Buno-Gironville;59447;Buno - Gironville;43102;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;654619.1223;6808073.8171;
612;48.69625274687923,2.1643782427741716;"{""coordinates"": [2.164378242774172, 48.69625274687923], ""type"": ""Point""}";118;Bures-sur-Yvette;62851;Bures-sur-Yvette;43103;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;638499.7812;6844337.1535;
856;48.83653643201063,2.7089817422622766;"{""coordinates"": [2.708981742262277, 48.83653643201063], ""type"": ""Point""}";119;Bussy-Saint-Georges;68105;Bussy-Saint-Georges;58874;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;678638.7274;6859648.704;
131;49.04787620243536,2.010999760003632;"{""coordinates"": [2.010999760003632, 49.04787620243536], ""type"": ""Point""}";128;Cergy Le Haut;66834;Cergy le Haut;43104;A01856;RER A;A;RER;0;RER A;0;0;0;SNCF;#F7403A;solid;1;1;627701.6572;6883563.8941;
131;49.03646397979169,2.079534939997373;"{""coordinates"": [2.079534939997373, 49.03646397979169], ""type"": ""Point""}";129;Cergy-Préfecture;66696;Cergy Préfecture;44559;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;632696.7168;6882234.2021;
128;49.04964700432274,2.0342944618526615;"{""coordinates"": [2.034294461852661, 49.04964700432274], ""type"": ""Point""}";131;Cergy-Saint-Christophe;66858;Cergy Saint-Christophe;47897;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;629406.8796;6883739.7414;
292;48.98500470032524,2.2574741572503094;"{""coordinates"": [2.257474157250309, 48.98500470032524], ""type"": ""Point""}";134;Cernay;65752;Cernay;43105;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;645653.172;6876374.6171;
787;48.56494949473517,2.594551816007612;"{""coordinates"": [2.594551816007612, 48.56494949473517], ""type"": ""Point""}";135;Cesson;62176;Cesson;42516;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;670084.3833;6829491.1237;
32;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";163;Châtelet-Les Halles;474151;Châtelet les Halles;45102;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;1;652093.2251;6862619.0666;
309;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";164;Châtelet-Les Halles;474151;Châtelet les Halles;45102;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;1;652093.2251;6862619.0666;
310;48.861822271863645,2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.861822271863645], ""type"": ""Point""}";170;Châtelet-Les Halles;474151;Châtelet les Halles;45102;A01842;RER D;D;RER;0;0;0;0;0;RATP;#3F9C35;solid;1;1;652093.2251;6862619.0666;
753;48.885211217274076,2.1559034718965218;"{""coordinates"": [2.155903471896522, 48.885211217274076], ""type"": ""Point""}";172;Châtou-Croissy;64483;Châtou - Croissy;53783;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;638100.6669;6865352.6049;
424;48.51424587436435,2.2155178119494896;"{""coordinates"": [2.21551781194949, 48.51424587436435], ""type"": ""Point""}";137;Chamarande;59734;Chamarande;47927;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;642062.4134;6824065.6531;
40;48.85645721060724,2.2898035182584997;"{""coordinates"": [2.2898035182585, 48.85645721060724], ""type"": ""Point""}";141;Champ de Mars;73844;Champ de Mars Tour Eiffel;58757;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647890.7859;6862058.7507;
431;48.806985070711534,2.5103072371156405;"{""coordinates"": [2.510307237115641, 48.806985070711534], ""type"": ""Point""}";142;Champigny;73042;Champigny;58270;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;664035.4268;6856434.9977;
393;48.87420418539023,2.2947732143825266;"{""coordinates"": [2.294773214382527, 48.87420418539023], ""type"": ""Point""}";151;Charles De Gaulle-Étoile;71347;Charles-de-Gaulle Étoile;58759;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;648273.0419;6864028.7945;
540;48.799728824409215,2.1836841098542354;"{""coordinates"": [2.183684109854235, 48.799728824409215], ""type"": ""Point""}";177;Chaville-Vélizy;69487;Chaville - Vélizy;47883;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;640039.5422;6855826.5976;
181;48.87414408208016,2.583331158055107;"{""coordinates"": [2.583331158055107, 48.87414408208016], ""type"": ""Point""}";178;Chelles-Gournay;68407;Chelles - Gournay;58879;A01843;RER E;E;RER;0;RER E;0;0;0;SNCF;#DE81D3;solid;1;1;669437.8836;6863871.7539;
756;48.74794190095198,2.312711013515798;"{""coordinates"": [2.312711013515798, 48.74794190095198], ""type"": ""Point""}";179;Chemin d'Antony;69682;Chemin d'Antony;46035;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;649466.5142;6849978.5566;
444;48.76378680861681,2.4113867249361034;"{""coordinates"": [2.411386724936103, 48.76378680861681], ""type"": ""Point""}";185;Choisy-le-Roi;69852;Choisy-le-Roi;43110;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;656734.7134;6851681.6092;
235;48.82108964968064,2.338978472013181;"{""coordinates"": [2.338978472013181, 48.82108964968064], ""type"": ""Point""}";189;Cité Universitaire;70623;Cité universitaire;473843;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;651465.8891;6858094.9267;
105;48.66790196011456,2.547548045814365;"{""coordinates"": [2.547548045814365, 48.66790196011456], ""type"": ""Point""}";196;Combs-la-Ville - Quincy;62558;Combs-la-Ville - Quincy;45771;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;666681.8714;6840955.207;
591;48.99033252744756,2.0739471888196923;"{""coordinates"": [2.073947188819692, 48.99033252744756], ""type"": ""Point""}";202;Conflans-Fin-d'Oise;73605;Conflans Fin d'Oise;43114;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;1;632228.0;6877109.0;
428;48.613427912659176,2.472933650458743;"{""coordinates"": [2.472933650458743, 48.613427912659176], ""type"": ""Point""}";207;Corbeil-Essonnes;60309;Corbeil-Essonnes;43115;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;661146.991;6834933.3117;
276;48.613427912659176,2.472933650458743;"{""coordinates"": [2.472933650458743, 48.613427912659176], ""type"": ""Point""}";207;Corbeil-Essonnes;60309;Corbeil-Essonnes;43115;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;661146.991;6834933.3117;
330;48.701217719380196,2.097975858420524;"{""coordinates"": [2.097975858420524, 48.701217719380196], ""type"": ""Point""}";219;Courcelle-sur-Yvette;62951;Courcelle sur Yvette;47052;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;633619.1987;6844942.8939;
437;48.77126603718618,2.435306339706322;"{""coordinates"": [2.435306339706322, 48.77126603718618], ""type"": ""Point""}";1159;Créteil Pompadour;69950;Créteil Pompadour;46286;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;658498.8113;6852500.3354;
680;48.833073169694686,2.333203670349574;"{""coordinates"": [2.333203670349574, 48.833073169694686], ""type"": ""Point""}";235;Denfert-Rochereau;71056;Denfert Rochereau;473890;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;651053.1484;6859430.9166;
793;48.533732833041356,2.0087718138734374;"{""coordinates"": [2.008771813873437, 48.533732833041356], ""type"": ""Point""}";240;Dourdan;59836;Dourdan;43121;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;626821.1896;6826403.4096;
240;48.53562062164871,1.9959019903628321;"{""coordinates"": [1.995901990362832, 48.53562062164871], ""type"": ""Point""}";241;Dourdan-la-Forêt;59843;Dourdan la Forêt;47095;A01840;RER C;C;RER;0;RER C;0;0;0;SNCF;#F3D311;solid;1;1;625873.7762;6826625.2525;
77;48.93270621776532,2.4547663827657757;"{""coordinates"": [2.454766382765776, 48.93270621776532], ""type"": ""Point""}";242;Drancy;72652;Drancy;43122;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;660052.9226;6870441.1306;
134;48.980646099492056,2.2720847727476317;"{""coordinates"": [2.272084772747632, 48.980646099492056], ""type"": ""Point""}";265;Ermont-Eaubonne;65669;Ermont - Eaubonne;47898;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;1;646718.0509;6875879.9697;
207;48.60555582544281,2.462456492779696;"{""coordinates"": [2.462456492779696, 48.60555582544281], ""type"": ""Point""}";270;Essonnes-Robinson;422776;Essonnes Robinson;45759;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;660368.7153;6834063.3879;
20;48.743016568968,2.2959214068976026;"{""coordinates"": [2.295921406897603, 48.743016568968], ""type"": ""Point""}";286;Fontaine-Michalon;69647;Fontaine Michalon;43124;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;648227.1941;6849441.8358;
790;48.78756672743317,2.292988009258978;"{""coordinates"": [2.292988009258978, 48.78756672743317], ""type"": ""Point""}";287;Fontenay-aux-Roses;70133;Fontenay-aux-Roses;43125;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;648055.8498;6854396.9194;
913;48.84379435099823,2.463501419487551;"{""coordinates"": [2.463501419487551, 48.84379435099823], ""type"": ""Point""}";289;Fontenay-sous-Bois;71630;Fontenay-sous-Bois;47238;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;660625.7196;6860550.1345;
559;48.99371347945197,2.234276393996537;"{""coordinates"": [2.234276393996537, 48.99371347945197], ""type"": ""Point""}";292;Franconville-Le Plessis-Bouchard;66005;Franconville - Le Plessis-Bouchard;43126;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;643964.7292;6877359.2784;
434;48.883734280042844,2.525434250765842;"{""coordinates"": [2.525434250765842, 48.883734280042844], ""type"": ""Point""}";298;Gagny;73278;Gagny;43044;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;665197.678;6864962.104;
163;48.844139348918475,2.373259976710645;"{""coordinates"": [2.373259976710645, 48.844139348918475], ""type"": ""Point""}";306;Gare de Lyon;73626;Gare de Lyon;470195;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;1;654003.2244;6860637.2778;
170;48.8437725759169,2.373916469806498;"{""coordinates"": [2.373916469806498, 48.8437725759169], ""type"": ""Point""}";307;Gare de Lyon;73626;Gare de Lyon;470195;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;654051.0804;6860596.114;
404;48.881759488218286,2.357570193470876;"{""coordinates"": [2.357570193470876, 48.881759488218286], ""type"": ""Point""}";309;Gare du Nord;478733;Gare du Nord;58572;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;1;652885.8018;6864829.5892;
806;48.881759488218286,2.357570193470876;"{""coordinates"": [2.357570193470876, 48.881759488218286], ""type"": ""Point""}";310;Gare du Nord;478733;Gare du Nord;58572;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;652885.8018;6864829.5892;
909;48.97674784735997,2.3905936526418374;"{""coordinates"": [2.390593652641837, 48.97674784735997], ""type"": ""Point""}";322;Garges-Sarcelles;65582;Garges - Sarcelles;43251;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;655389.1309;6875373.0102;
258;48.93289616551451,2.307943234074897;"{""coordinates"": [2.307943234074897, 48.93289616551451], ""type"": ""Point""}";326;Gennevilliers;72303;Gennevilliers;43130;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;649296.2115;6870546.531;
189;48.815229933781644,2.3408911324445945;"{""coordinates"": [2.340891132444594, 48.815229933781644], ""type"": ""Point""}";327;Gentilly;70543;Gentilly;45877;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;651600.8804;6857442.2267;
401;48.69819697536674,2.1365667170583604;"{""coordinates"": [2.13656671705836, 48.69819697536674], ""type"": ""Point""}";330;Gif-sur-Yvette;62890;Gif-sur-Yvette;47888;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;636455.3481;6844575.3205;
452;49.02316199809731,2.462168966135234;"{""coordinates"": [2.462168966135234, 49.02316199809731], ""type"": ""Point""}";333;Goussainville;66535;Goussainville;47876;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;660663.7877;6880496.5332;
740;48.64848911165158,2.4353305301813037;"{""coordinates"": [2.435330530181304, 48.64848911165158], ""type"": ""Point""}";334;Grand-Bourg;73627;Grand Bourg;45860;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;658402.9742;6838850.2443;
965;48.746452319769574,2.727229371429766;"{""coordinates"": [2.727229371429766, 48.746452319769574], ""type"": ""Point""}";966;Gretz-Armainvilliers;67658;Gretz-Armainvilliers;43131;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;1;679943.5306;6849627.6575;
917;48.65484933449465,2.39678350341544;"{""coordinates"": [2.39678350341544, 48.65484933449465], ""type"": ""Point""}";337;Grigny-Centre;60797;Grigny Centre;43132;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;655568.8183;6839578.3224;
490;48.87499705814552,2.328685515718797;"{""coordinates"": [2.328685515718797, 48.87499705814552], ""type"": ""Point""}";343;Haussmann-Saint-Lazare;73688;Gare Saint-Lazare;58718;A01843;RER E;E;RER;0;RER E;0;0;0;SNCF;#DE81D3;solid;1;1;650761.1287;6864095.275;
785;48.92037937299015,2.1853533763028636;"{""coordinates"": [2.185353376302864, 48.92037937299015], ""type"": ""Point""}";357;Houilles-Carrières-sur-Seine;64741;Houilles - Carrières-sur-Seine;43082;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;640300.5563;6869240.4011;
522;48.74085329922273,2.230839930557986;"{""coordinates"": [2.230839930557986, 48.74085329922273], ""type"": ""Point""}";360;Igny;63352;Igny;43083;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;643439.379;6849245.9704;
